Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
CURRICULUM STUDIES,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND FRENCH,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND GEOGRAPHY,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND INTEGRATED SCIENCE,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND POLITICAL SCIENCE,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATION AND SOCIAL STUDIES,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
EDUCATIONAL TECHNOLOGY,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
FULFULDE,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
HEALTH EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
HOME ECONOMICS AND EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
HUMAN KINETICS,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
LIBRARY AND INFORMATION SCIENCE,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
SPECIAL EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
TECHNICAL EDUCATION,"SHEHU SHAGARI UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SSUET,[Not Available],[Not Available],[Not Available]
