Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"Two ‘A’ level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSCE credit  passes including English Language, Mathematics, Economics and any other two relevant subjects.

For National Diploma holders, the other two relevant subjects could be from any     of Accounting, Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject"
AGRICULTURE,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,[Not Available],[Not Available],[Not Available]
ARABIC STUDIES,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOLOGY,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"NCE ‘A’ level (IJMB, ND) passes in Biology and one (1) other Science subject.","Five (5) SSCE credit passes to include English Language, Biology, Chemistry, Mathematics  and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
BUSINESS ADMINISTRATION,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"Two ‘A’ level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics","Five (5) SSCE credit including English, Mathematics, Economics, plus any two of Accounting, Business Methods, Commerce, Government, Geog, and Statistics.","Mathematics, Economics and one other subject"
BUSINESS MANAGEMENT,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"Two ‘A’ level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics","Five (5) SSCE credit including English, Mathematics, Economics, plus any two of Accounting, Business Methods, Commerce, Government, Geog, and Statistics.","Mathematics, Economics and one other subject"
CHEMISTRY,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"(i) Two (2) ‘A’ level (IJMB) passes in Chemistry and any one (1) of Biology, Physics, or Mathematics.

(ii) ND/NCE with good grades in two (2) relevant  'O'-Level Subjects.","Five (5) SSCE credit passes to include English Language, Chemistry, Mathematics and Biology.","Chemistry and two (2) of Biology, Physics or Mathematics."
COMPUTER SCIENCE,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"(i) Two (2) ‘A’ level (IJMB) passes in Mathematics and one (1) Science subject.

(ii) ND/NCE with credit or Merit passes in Mathematics and one (1) relevant Subject.","Five (5) ‘O’ level credit passes to include English Language, Mathematics and one (1) other Science subject.","Mathematics and two (2) of Physics, Chemistry or Biology"
CYBER SECURITY,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,[Not Available],[Not Available],[Not Available]
ECONOMICS,"SULE LAMIDO UNIVERSITY, KAFIN HAUSA, JIGAWA STATE",SLUK,"Two ‘A’ level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agric Science, Accounting, Business Management, History and Government.","Five (5) SSCE credit passes in English Language, Maths, Economics and any two of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Lit-in-English, French and CRK/IRK."
