Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
CURRICULUM STUDIES,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND FRENCH,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND GEOGRAPHY,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND INTEGRATED SCIENCE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND POLITICAL SCIENCE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
EDUCATIONAL TECHNOLOGY,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
FULFULDE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
HEALTH EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
HOME ECONOMICS AND EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
HUMAN KINETICS,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
LIBRARY AND INFORMATION SCIENCE,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
SECRETARIAL STUDIES,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
SOCIAL STUDIES,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
SPECIAL EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
TECHNICAL EDUCATION,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
TRANSPORTATION MANAGEMENT,"SULTAN ABUBAKAR UNIVERSITY OF EDUCATION, TAMBUWAL, SOKOTO STATE",SAUED,[Not Available],[Not Available],[Not Available]
