Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ARABIC STUDIES,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & ARABIC,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION & BIOLOGY,"UMARU MUSA YARADUA UNIVERSITY, KATSINA, KATSINA STATE",UMYUK,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
