Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
BANKING & FINANCE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATIONAL MANAGEMENT,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
ENGLISH LANGUAGE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
FISHERIES & AQUACULTURE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
GUIDANCE & COUNSELLING,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HISTORY & INTERNATIONAL STUDIES,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,credit) in History/ Government and any other related subject.,"Language, Geography, Government/History.",subjects from the Arts and Social Sciences.
HOTEL MANAGEMENT & TOURISM,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Botany/

Agricultural Science/Economics/

Physics/Mathematics/

Geography/Accounting","Five (5) SSC credit passes in Chemistry, Biology/Agricultural Science, Mathematics, Physics, English Language and any one of Nutrition, Fine Arts, Textile, Construction, Technical Drawing, Basic Electricity, Basic Catering and Food  Services, Bakery and Confectioneries, General Metal Work, Men Garment Construction and Finishing, Spinning,  Weaving, Surface Design and Printing, Bleaching, Dyeing and Finishing, Ladies Garment Construction and Finishing.","Chemistry, Biology/Agriculture and Mathematics/Physics or one (1) Social Science subject."
INDUSTRIAL RELATIONS & PERSONNEL MANAGEMENT,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics and one other subject."
LINGUISTICS & NIGERIA LANGUAGE,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,"Two (2) ‘A’ Level passes in Arts, Social Sciences and Science subjects.","Five (5) SSC credit passes to include English Language and any other Arts, Social Sciences and Sciences.",One Arts and two (2) other subjects
MASS COMMUNICATION,"UNIVERSITY OF AFRICA, TORU-ORUA, BAYELSA STATE",UNI-AFRICA,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
