Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL AND ENVIRONMENTAL BIOLOGY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
ANIMAL HEALTH & ENVIRONMENTAL BIOLOGY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
ARCHITECTURE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING AND FINANCE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BROADCASTING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
BUSINESS EDUCATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMICAL SCIENCES,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHEMISTRY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER SCIENCE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
EARLY CHILDHOOD EDUCATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
ECONOMICS,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
EDUCATION & BIOLOGY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & MATHEMATICS,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATIONAL ADMINISTRATION & PLANNING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
EDUCATIONAL FOUNDATIONS & ADMINISTRATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,Two (2) 'A' Level passes/NCE merit/credit in relevant subjects.,Five (5) SSC credit passes in five (5) subjects including English Language and Mathematics.,The subject of specialisation and one (1) each from Arts and Social Sciences or Arts and Sciences or Social Sciences and Sciences.
ELECTRICAL /ELECTRONICS ENGINEERING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENTREPRENEURSHIP STUDIES,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
ESTATE MANAGEMENT,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
FISHERIES,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
FORESTRY & WILDLIFE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,Two (2) ’A’ Level passes in Chemistry and Biology or Agric Science or Zoology or Botany.,"Five (5) SSC credit passes in English, Chemistry, Mathematics, Biology and one of Physics, Economics, Further Mathematics and Statistics.","Chemistry, Biology/Agriculture and Physics or Mathematics."
GUIDANCE & COUNSELLING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HOSPITALITY & TOURISM MANAGEMENT,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Botany/

Agricultural Science/Economics/

Physics/Mathematics/

Geography/Accounting","Five (5) SSC credit passes in Chemistry, Biology/Agricultural Science, Mathematics, Physics, English Language and any one of Nutrition, Fine Arts, Textile, Construction, Technical Drawing, Basic Electricity, Basic Catering and Food  Services, Bakery and Confectioneries, General Metal Work, Men Garment Construction and Finishing, Spinning,  Weaving, Surface Design and Printing, Bleaching, Dyeing and Finishing, Ladies Garment Construction and Finishing.","Chemistry, Biology/Agriculture and Mathematics/Physics or one (1) Social Science subject"
HUMAN ANATOMY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
HUMAN KINETICS & HEALTH EDUCATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,No Direct Entry,As in Physical and Health Education,As in Physical and Health Education
HUMAN KINETICS AND HEALTH EDUCATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
JOURNALISM AND MEDIA STUDIES,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
LIBRARY & INFORMATION SCIENCE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
LIBRARY AND INFORMATION SCIENCE,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,[Not Available],[Not Available],[Not Available]
MARKETING,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,"Two (2) ‘A’ Level passes in Literature in English, Economics or Government.","Five (5) SSC credit passes to include English Language, Literature in English and Government plus a pass in Mathematics.","Literature in English, Economics and Government."
MATHEMATICS,"UNIVERSITY OF CROSS RIVER STATE, CALABAR",UNICROSS,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
