Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
ADULT & CONTINUING EDUCATION,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"(i)    Two (2) 'A' Level   passes.

(ii)   NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,[Not Available],[Not Available],[Not Available]
ANIMAL SCIENCE,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

 

(ii)   ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

 

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"UNIVERSITY OF DELTA, AGBOR, DELTA STATE",UDA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
