Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
ADULT AND CONTINUING EDUCATION,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
AGRICULTURAL SCIENCE AND EDUCATION,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
ANATOMY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND INTEGRATED SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND MUSIC,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND POLITICAL SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATION AND SOCIAL STUDIES,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
HISTORY AND INTERNATIONAL STUDIES,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
LAW,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
LINGUISTICS,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
MUSIC,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
PHYSIOLOGY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
TOURISM AND HOSPITALITY,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
TRANSPORT PLANNING AND LOGISTICS STUDIES,"UNIVERSITY OF ILESA, ILESA, OSUN STATE",UNI-ILESA,[Not Available],[Not Available],[Not Available]
