Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"Two (2)'A' Level passes including Economics/Accounting/Business/Management. NCE merit in a relevant field. HND/ND/OND in Accounting, Economics, and Business Management or any related course.","Five (5) SSC credit passes including English Language, Mathematics, Economics/Accounting/Commerce and two (2) other relevant subjects.","Mathematics/Economics, and two other Social Science subjects."
AGRICULTURE,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,[Not Available],[Not Available],[Not Available]
ANATOMY,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics/Mathematics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ARABIC & ISLAMIC STUDIES,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,Two (2) 'A' Level passes in relevant subjects.,Same as in Arabic Studies,Same as in Arabic Studies
ARABIC STUDIES,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics."
BIOLOGICAL SCIENCE(S),"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,Two (2)'A' Level passes including Economics/Commerce/Accounting and any Social Science or Art subject. ND/HND/NCE in Business Administration or Management and Purchasing and Supplies or any related field.,"Five (5) SSC credit passes including English Language, Mathematics, Economics/Commerce/Accounting and two (2) other Social Science or Arts subjects.","Mathematics, Economics/Commerce and any other Social Science or Art subject"
BUSINESS EDUCATION,"YOBE STATE UNIVERSITY, DAMATURU, YOBE STATE",YSU,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
