Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ANATOMY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
AUDIOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
BOTANY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
CHEMISTRY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMMUNITY HEALTH,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
COMPLEMENTARY AND ALTERNATIVE MEDICINE,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DENTAL TECHNOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
DENTAL THERAPY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
DENTISTRY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Three (3) 'A' Level passes to include Chemistry, Biology/Zoology and Physics.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Biology and Mathematics.","English Language, Chemistry, Biology and Physics."
DOCTOR OF PHYSIOTHERAPY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language","Physics, Chemistry and Biology."
ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Candidates who fulfil above requirements and who have obtained G.C.E Advanced Level or equivalent passes in Biology and Chemistry, as well as holders of OND and HND in relevant subject may be admitted into 200 Level.","The entry requirements shall be at least credit level passes in five subjects including English Language, Mathematics, to form the core course with credit in three other relevant science courses Biology, Chemistry, Agricultural Science and Physics at the Senior Secondary School Certificate or its equivalent in not more than two sittings and candidates must also have at-least a pass in Physics.","English Language, Mathematics,  Biology, Chemistry, Agricultural Science or Physics"
ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Candidates who fulfil above requirements and who have obtained G.C.E Advanced Level or equivalent passes in Biology and Chemistry, as well as holders of OND and HND in relevant subject may be admitted into 200 Level.","The entry requirements shall be at least credit level passes in five subjects including English Language, Mathematics, to form the core course with credit in three other relevant science courses Biology, Chemistry, Agricultural Science and Physics at the Senior Secondary School Certificate or its equivalent in not more than two sittings and candidates must also have at-least a pass in Physics.","English Language, Mathematics,  Biology, Chemistry, Agricultural Science or Physics"
ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY:,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics","Biology, Chemistry and either Physics or Mathematics."
FISHERIES MANAGEMENT,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
FOOD SCIENCE,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,Two (2) 'A' Level passes in Chemistry and Biology/Physics/Agricultural Science/Botany/Zoology.,"Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and Physics","Chemistry, Mathematics/ Physics and Agricultural Science"
GEOPHYSICS,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
HEALTH CARE ADMINISTRATION AND HOSPITAL MANAGEMENT,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL MATHEMATICS,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"ONDO STATE UNIVERSITY OF MEDICAL SCIENCES, LAJE ROAD, ONDO, ONDO STATE",OSUMS,"'A' level passes in Mathematics, Physics, Chemistry,  Biology.

ii) ND (upper credit) in relevant fields of technology.




'A' Level passes/ND and HND in relevant subjects into 200 and 300 levels.","Five (5) SSC credit passes including English Language, Economics and Mathematics","Mathematics, Economics and any one of Account, Commerce and Government"
