Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
APPLIED MICROBIOLOGY AND BREWING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
BIOMEDICAL ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
CHEMICAL ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
CIVIL ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHARMACY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
ELECTRICAL AND ELECTRONICS ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
GENETICS AND BIOTECHNOLOGY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
HUMAN ANATOMY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
HUMAN PHYSIOLOGY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
INFORMATION & COMMUNICATION TECHNOLOGY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
MEDICINE AND SURGERY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
MOLECULAR BIOLOGY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
NUTRITION AND DIETETICS,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
QUANTITY SURVEYING,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY,"STATE UNIVERSITY OF MEDICAL AND APPLIED SCIENCES, IGBO ENO, ENUGU STATE",SUMAS,[Not Available],[Not Available],[Not Available]
