Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"Two A’Level subject in relevant subjects with minimum of credit​In addition to O’Level requirements stipulated above, applicants should possess at least   two A’Level papers in relevant subject ​OND in accounting or accountancy with at least upper credit in addition to five credit passes as in 1.32(a) above..

​HND in accounting or accountancy with at least upper credit in addition to five credit passes as in 1.32(a) above. 

​NCE Business Education, Accounting Education at merit level","Five credits passes at not more than Two sitting which must include: English language, Mathematics, Economics, Account or Commerce at Senior School Certificate Examination.","English Language, Mathematics, Economics, Accounts or Commerce."
AGRICULTURAL ECONOMICS AND EXTENSION,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"In addition to UTME Requirements, Candidates seeking Direct Entry admission must possess a National Diploma with a minimum of Lower Credit or equivalent from a recognized Polytechnic/College of Technology or any other recognized diploma-awarding institution of equivalent status in Fisheries Technology/relevant Agricultural Sciences. GCE (A/L) or equivalent with passes in Chemistry and one of the following subjects: Biology, Zoology, Agricultural Science and Physics. NCE in Agriculture (Double Major) with at least Merit.","Candidates must possess five credit passes in SSCE/WASCE, NECO, GCE (O/L), or any recognized equivalent at a maximum of two sittings. Subjects must include English Language, Mathematics, Chemistry, Biology/Agricultural Science. A pass in Physics is required. In addition, an acceptable pass in UTME is required. This will be determined by the University Senate in accordance with the JAMB cut-off marks.","English Language, Chemistry, Biology or Agricultural"
AGRICULTURAL SCIENCE & EDUCATION,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"National Diploma with a minimum of Upper Credit (plus 5 credits in WASCE/NECO/GCE “O” level) from recognized institution or recognized Polytechnics and Colleges of Technology in relevant disciplines (Agricultural Sciences), or

ii. Two advanced level (AL) papers in relevant subjects (Agricultural Science) provided the candidate also has at least five ‘O’ level credit passes including English Language and Mathematics in not more than TWO sittings.

iii. NCE with an overall pass at merit level or above in relevant courses, provided the candidate has at least five ‘O’ level credit passes including English Language and Mathematics in not more than TWO sittings.","Five credit passes at not more than TWO sittingswhich must include:   English Language, Agricultural Science, Chemistry, Mathematics and Biology/ Physics at Senior Secondary School Certificate Examination.","English Language, Agricultural Science/Biology, Chemistry"
AGRICULTURAL SCIENCE AND EDUCATION,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"National Diploma with a minimum of Upper Credit (plus 5 credits in WASCE/NECO/GCE “O” level) from recognized institution or recognized Polytechnics and Colleges of Technology in relevant disciplines (Agricultural Sciences), or

ii. Two advanced level (AL) papers in relevant subjects (Agricultural Science) provided the candidate also has at least five ‘O’ level credit passes including English Language and Mathematics in not more than TWO sittings.

iii. NCE with an overall pass at merit level or above in relevant courses, provided the candidate has at least five ‘O’ level credit passes including English Language and Mathematics in not more than TWO sittings.","English Language, Agricultural Science, Chemistry,Economics, Mathematics, Geography, Biology and Physics at Senior Secondary School Certificate Examination.","English Language and any three (3) subjects from Agricultural Science, Biology, Chemistry, Economics, Geography, Mathematics or Physics."
ANIMAL SCIENCE,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"In addition to UTME Requirements, Direct Entry Candidates must possess

National Diploma with a minimum of Lower Credit from recognized Polytechnics and Colleges of Technology in relevant disciplines (Agricultural Sciences), or GCE (A/L) or equivalent with passes in relevant subjects in Agricultural Science or Biology, Chemistry, Physics. NCE Merit in Agriculture (Double Major).","Candidates must possess five credit passes in SSCE/WASCE, NECO, GCE (O/L), or any recognized equivalent at a maximum of two sittings. Subjects must include English Language, Mathematics, Chemistry, Biology or Agricultural Science. A pass in Physics is required. In addition, an acceptable pass in UTME is required. This will be determined by the University Senate in accordance with the JAMB cut-off marks.","English Language, Chemistry

Agricultural Science/Biology,

Mathematics/ Physics."
AQUACULTURE & FISHERIES,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"In addition to UTME Requirements, Direct Entry Candidates must possess

National Diploma with a minimum of Lower Credit or equivalent from a recognized Polytechnic, College of Technology or any other recognized diploma-awarding institution of equivalent status in Fisheries Technology/relevant Agricultural Sciences or GCE (A/L) or equivalent with passes in Chemistry and one of the following subjects: Biology, Zoology, Agricultural Science and Physics. NCE Agriculture (Double Major) with at least Merit","Candidates must possess five credit passes in SSCE/WASCE, NECO, GCE (O/L) or any recognized equivalent at a maximum of two sittings. Subjects must include English Language, Mathematics, Chemistry, Biology or Agricultural Science. A pass in Physics is required. In addition, an acceptable pass in UTME is required. This will be determined by the University Senate in accordance with the JAMB cut-off marks.","English Language, Chemistry,

Biology or Agricultural Science,

Mathematics or Physics."
ARCHITECTURE,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,Direct Entry candidates must fulfill the conditions in a (above) and have a minimum of Upper Credit at the ND examination or equivalent in at least two science subjects including Mathematics or Physics to qualify for admission into 200 level of the programme. Candidates who hold Higher National Diploma (HND) in relevant field may also be admitted into the 300 - level of the programme.,"Candidates must have five credits in O’ level or SSCE or NECO at not more than two sittings. Candidates who have successfully completed the Senior Secondary School or its equivalent and obtained five credit level passes in Mathematics, English Language, Physics and two other subjects from the following list will be eligible for admission currently through the Unified Tertiary Matriculation Examinations (UTME); Chemistry, Biology, Technical Drawing, Fine Arts, Geography, Economics, Building Construction and Land Surveying.","English Language
• Mathematics
• Physics and any one of  Biology/Agricultural Science,Chemistry, Biology, Technical Drawing, Fine Arts, Geography, Economics, Building Construction or Land Survey."
BIOCHEMISTRY,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"In addition to UTME Requirements, Candidates seeking Direct Entry admission must have at least two A-level passes (graded A-E) at the Advanced Level in one or more relevant subjects (Biology, Botany, Chemistry, Geography, Mathematics, and Physics) and may undertake the three – year degree programme into 200-level. A Credit pass in Biology/Chemistry at NCE or at least an Upper credit pass at ND in Biology/Chemistry, SLT, or a Lower credit in HND in Biology/Chemistry, SLT, and other relevant courses may be admitted to the appropriate level or IJMB/JUPEB.","Candidates must possess five credit passes in SSCE/WASCE, NECO, GCE (O/L), or any recognized equivalent at a maximum of two sittings. Subjects must include English Language, Mathematics, Biology, Chemistry, and Physics. In addition, an acceptable pass in UTME is required. This will be determined by the University Senate in accordance with the JAMB cut-off marks.","English Language, Biology, Chemistry, and Physics/Mathematics."
BUILDING TECHNOLOGY,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"Holders of National Diploma (ND/OND) or its equivalent at not less than Upper Credit level in Building, Architecture, Quantity Surveying and Civil Engineering may be considered for direct entity to Part II provided that they:
scorenotlessthan60%atNDlevelandthesubjectspassedmustincludeMathematics and other science courses offered at ND II level (for example, basic courses in Structures and Building Science)

Holders of Higher National Diploma (at not less than Upper Credit level) Certificate in Architecture or Civil Engineering may be considered for admission to Part II provided they satisfy 4(2b) in addition to the general conditions stipulated in4(1).","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC, the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold / Hot Water Supply, Sanitation and Drainage.","English Language, Chemistry, Physics and Mathematics or Technical Drawing"
BUSINESS ADMINISTRATION,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"Applicants should possess five credit passes in the GCE or equivalent examination, at least two of which shall be at the Advanced level​OND in relevant discipline ﻿with at least upper credit grade in addition to the five credit passes as in (a) above.




HND in relevant discipline with at least lower credit in addition to five credit passes as in (a) above. 

NCE Business Education, Accounting Education at merit level","Five credits passes at not more than TWO sitting which must include: English Language, Mathematics, Economics, Account or commerce at Senior School Certificate Examination.","English Language, Mathematics, Economics, Accounts or Commerce."
BUSINESS EDUCATION,"BAMIDELE OLUMILUA UNIVERSITY OF EDU. SCIENCE AND TECH. IKERE-EKITI, EKITI STATE",BOUEDST,"NCE credit/merit or distinction passes in Business Education or “A” level in the relevant subject plus 3’O’ level or SSCE passes at credit level or its equivalent. General English passes at NCE is taken in lieu of ‘O’ Level credit passes in English. But the candidates in:

(a) Accounting and Marketing options must possess credit in English Language and Mathematics. Office enology and Management option, a pass in Mathematics is accepted","Candidates seeking admission into the four years’ degree programme should possess a Senior Secondary School Certificate or General certificate of Education or their equivalents with a least 5 credit passes which must include English Language, Mathematics and economics or Commerce at not more than two sittings and as pass at the Joint Admission and Matriculation Board (JAMB) examination with the cut-off point as may be determined by the Senate from time to time.
﻿","English Language, Mathematics, Economics, Accounting or Commerce."
