Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
ACTUARIAL SCIENCE,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

 

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUILDING,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
BUILDING TECHNOLOGY EDUCATION,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
EDUCATION AND GEOGRAPHY,"CONFLUENCE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OSARA, KOGI STATE",CUST,[Not Available],[Not Available],[Not Available]
