Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
AGRICULTURAL ECONOMICS,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ENGINEERING,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
ANIMAL AND ENVIRONMENTAL BIOLOGY,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,[Not Available],[Not Available],[Not Available]
ANIMAL PRODUCTION,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,Two ‘A’ Level passes or equivalent in Chemistry and one of Biology/Botany /Zoology/Agricultural Science/ Geography/Geology/ Mathematics/Economics.,"Five SSC credit passes in Chemistry, Mathematics, Biology/Agricultural Science, Physics and English Language.","Chemistry, Biology/Agricultural Science and Physics/Mathematics."
ARCHITECTURE,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

 

(ii)  ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,[Not Available],[Not Available],[Not Available]
BIOLOGY,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

 

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUILDING TECHNOLOGY,"DELTA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OZORO, DELTA STATE",DELSUT,"Candidates who fulfill the normal admission requirements and who have obtained G.C.E Advanced Level, HSC/IJMB or equivalent passes in English Language, Mathematics, Physics, Chemistry, Geography or Economics may be admitted at the 200 Level of the programme.





Candidates who have obtained National Diploma (ND) in Building Technology or any related courses (with minimum of Lower Credit) or other approved equivalent qualifications by the Federal Ministry of Education and the University Senate may be admitted into 200 Level




Higher National Diploma (HND) at credit level from any recognized polytechnic shall be admitted into 300 Level","The minimum academic requirement is credit level passes at not more than two sittings in five (5) subjects at O’ Level in nationally recognized  examination including English Language, Mathematics, Physics and any other two from the following: Chemistry, Economics, Land Surveying, Fine Arts, Technical Drawing, Geography, Biology/Agricultural Science, Further Mathematics","Candidate must register and write English Language, Mathematics, Physics and any other of Chemistry, Building Construction, Economics, Land Surveying, Fine Arts, Technical Drawing, Geography, Biology/Agricultural Science"
