Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
ACTUARIAL SCIENCE,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS & FARM MANAGEMENT,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ENGINEERING,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
AGRICULTURAL EXTENSION & RURAL DEVELOPMENT,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
ANIMAL PRODUCTION,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
AQUACULTURE & FISHERIES MANAGEMENT,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
ARTS & INDUSTRIAL DESIGN,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY & FOOD TECHNOLOGY,"LAGOS STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, IKORODU, LAGOS STATE",LASUSTECH,[Not Available],[Not Available],[Not Available]
