Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURE,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
BIOCHEMISTRY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
CHEMICAL ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CHEMICAL SCIENCES,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMMUNICATIONS TECHNOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE & INFORMATION TECHNOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ELECTRICAL /ELECTRONICS ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
FISHERIES,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
FOOD SCIENCE & TECHNOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,Two (2) 'A' Level passes in Chemistry and Biology/Physics/Agricultural Science/Botany/Zoology.,"Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and Physics","Chemistry, Mathematics/ Physics and Agricultural Science"
FORESTRY & WILDLIFE MANAGEMENT,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,Two (2) ’A’ Level passes in Chemistry and Biology or Agric Science or Zoology or Botany,"Five (5) SSC credit passes in English, Chemistry, Mathematics, Biology and one of Physics, Economics, Further Mathematics and Statistics.","Chemistry, Biology/Agriculture and Physics or Mathematics."
GAS ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"'A' Level passes to include Physics, Chemistry and Mathematics.","Five (5) SSC credits to include Physics, Chemistry, Mathematics, English Language and any one Science subject.","Chemistry, Mathematics and Physics"
GEOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
GEOPHYSICS,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
INDUSTRIAL CHEMISTRY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL PRODUCTION ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,'A' Level passes in Mathematics and Physics.,"Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
MATHEMATICS,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"(i)        Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)       ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
METALLURGICAL & MATERIALS ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"'A' Level passes in any two (2) of Physics, Mathematics and Chemistry","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one other Science subject.","Physics, Chemistry and Mathematics."
MICROBIOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PETROLEUM ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"'A' Level passes to include Physics, Chemistry and Mathematics.","Five (5) SSC credits to include Physics, Chemistry, Mathematics, English Language and any one Science subject.","Chemistry, Mathematics and Physics"
PHYSICS,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLYMER ENGINEERING,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"'A' Level passes in Chemistry, Mathematics and Physics","Five (5) SSC credit passes to include Mathematics, Chemistry, Physics, English Language and any other Science subject.","Physics, Chemistry and Mathematics."
STATISTICS,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
ZOOLOGY,"ONDO STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKITIPUPA, ONDO STATE",OSUSTECH,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
